intent,intent_size,dimensions,n_customers,support,stability_proxy
M1@0.3 & M1@0.5 & M1@0.7 & R4@0.3 & R4@0.5,5,MR,8007,0.08576753751727241,0.9987510927938055
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R2@0.5 & R2@0.7,6,FR,7989,0.08557472926507921,0.9967455250970084
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R4@0.3 & R4@0.5,8,FMR,7984,0.08552117141724777,0.99937374749499
R4@0.3 & R4@0.5 & R4@0.7 & S5@0.3,4,RS,7974,0.08541405572158488,0.9979934788061199
R4@0.3 & R4@0.5 & R4@0.7 & S5@0.3 & S5@0.5,5,RS,7970,0.08537120944331973,0.9979924717691343
S3@0.3,1,S,7962,0.08528551688678943,0.9883195177091183
S3@0.3 & S3@0.5,2,S,7946,0.0851141317737288,0.9891769443745281
R4@0.3 & R4@0.5 & R4@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,RS,7924,0.08487847724327045,0.9979808177688037
R3@0.3 & R3@0.5 & R3@0.7 & S5@0.3,4,RS,7887,0.08448214916931777,0.99797134525168
R3@0.3 & R3@0.5 & R3@0.7 & S5@0.3 & S5@0.5,5,RS,7886,0.0844714375997515,0.9979710880040579
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3 & R1@0.5,5,FR,7870,0.08430005248669087,0.9936467598475223
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R3@0.3 & R3@0.5,6,FMR,7852,0.08410724423449768,0.9961793173713703
R3@0.3 & R3@0.5 & R3@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,RS,7840,0.08397870539970222,0.9980867346938775
R3@0.3 & R4@0.3,2,R,7829,0.08386087813447304,0.9881210882615915
M2@0.3 & M2@0.5 & R3@0.3,3,MR,7784,0.08337885750399006,0.9948612538540597
M2@0.3 & R2@0.3,2,MR,7749,0.08300395256916997,0.9905794296038198
M1@0.3 & M1@0.5 & R3@0.3 & R3@0.5,4,MR,7741,0.08291826001263965,0.9981914481333161
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R5@0.3,5,FMR,7715,0.08263975920391615,0.9961114711600778
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R3@0.3 & R3@0.5,7,FMR,7714,0.08262904763434986,0.9987036556909515
S3@0.3 & S3@0.5 & S3@0.7,3,S,7696,0.08243623938215666,0.9922037422037422
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5 & R4@0.7 & S5@0.3 & S5@0.5,8,FRS,7695,0.08242552781259038,0.9993502274204029
